age,NumberOffriends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,cute,sex,sexy,hot,kissed,dance,band,marching,music,rock,god,church,jesus,bible,hair,dress,blonde,mall,shopping,clothes,hollister,abercrombie,die,death,drunk,drugs,gender,cluster
17.0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0,1.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,1.0,0.0,F,1
18.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,1.0,2.0,0.0,1.0,0.0,0.0,4.0,1.3877787807814457e-17,-1.3877787807814457e-17,1.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,1.0,1.0,F,0
17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,-2.7755575615628914e-17,2.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,3.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,F,0
18.0,32.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,1.0,-6.938893903907228e-18,1.0,1.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,M,1
19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,1.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,1.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,M,1
19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,3.0,0.0,-6.938893903907228e-18,1.0,0.0,2.0,2.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,F,1
19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,1.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,F,1
17.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,1.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,M,1
18.0,37.0,0.0,0.9999999999999998,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0,0.0,0.0,F,1
16.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,F,1
